"FullPath","Ext","SizeBytes","LastModified","Created","First120","DeltaMin"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Zones\Prob.ini",".ini","5684","2025-03-18 10:00","2026-04-30 22:09","[General] ZoneName=Prob ZoneID=3 TypeName=Surface AutoTH=0 AutoProbe=0 [Surface] Enable=1 AlgorithmName=Surface Classify","-588249"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Zones\RDL.ini",".ini","5684","2025-03-18 10:00","2026-04-30 22:09","[General] ZoneName=RDL ZoneID=4 TypeName=Surface AutoTH=0 AutoProbe=0 [Surface] Enable=1 AlgorithmName=Surface Classify=","-588249"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Zones\Scan Area.ini",".ini","5690","2025-03-18 10:00","2026-04-30 22:09","[General] ZoneName=Scan Area ZoneID=63 TypeName=Surface AutoTH=0 AutoProbe=0 [Surface] Enable=1 AlgorithmName=Surface Cl","-588249"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Zones\Solder.ini",".ini","5686","2025-03-18 10:00","2026-04-30 22:09","[General] ZoneName=Solder ZoneID=1 TypeName=Surface AutoTH=0 AutoProbe=0 [Surface] Enable=1 AlgorithmName=Surface Classi","-588249"
"C:\job\VCAM 2D+3D CCS\Metadata.ini",".ini","93","2025-02-17 08:49","2026-05-17 11:18","[General] name=VCAM 2D+3D CCS Id=70fcdf04-16c4-4ecc-b494-1db4264f8643 Version=1 JobTag= ","-653910"
"C:\job\VCAM 2D+3D CCS\VcamInstallerGuid.txt",".txt","36","2025-03-18 12:04","2026-05-17 11:18","a768aa22-3050-46d9-b4fc-0521e28c1ac6","-611955"
"C:\job\VCAM 2D+3D CCS\.audit\manifest.json",".json","412","2026-05-17 11:19","2026-05-17 11:18","{   ""jobName"": ""VCAM 2D\u002B3D CCS"",   ""auditDbVersion"": ""1"",   ""created"": {     ""machine"": ""AMITA1"",     ""at"": ""2026-0","1"
"C:\job\VCAM 2D+3D CCS\Setup1\CurrWaferSurfaceInterpolation.ini",".ini","6975","2025-02-16 10:41","2026-05-17 11:18","ThinPlate 50 45345.8746814568 127445.286578824 768.093722279842 94.6954074602558 70547.5808184768 121152.524929174 768.8","-655238"
"C:\job\VCAM 2D+3D CCS\Setup1\CurrWaferSurfaceInterpolation.md",".md","29","2025-02-11 13:45","2026-05-17 11:18","[General] IsInChuckSpace=1 ","-662253"
"C:\job\VCAM 2D+3D CCS\Setup1\DefaultWafer2Table.ini",".ini","1141","2025-02-11 17:29","2026-05-17 11:18","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999969136        -0.0002747084   -157388.1110254321 Wafer2Table_Y=         ","-662030"
"C:\job\VCAM 2D+3D CCS\Setup1\DefectsClustering.ini",".ini","236","2025-02-11 13:46","2026-05-17 11:18","[General] Enabled=0 ClusteringAfterMerge=0 Distance=0 SelectedFirstSortingList=Priority SelectedSecondSortingList=Area S","-662253"
